lad_code,lad_name,first_year,last_year,n_years,jti_first,jti_last,jti_delta,trend_label,component_emissions_last,component_transport_last,component_deprivation_last,jti_last_percentile,component_emissions_percentile,component_transport_percentile,component_deprivation_percentile,jti_last_rank,component_emissions_rank,component_transport_rank,component_deprivation_rank,priority_group,cluster_id,cluster_label
E06000001,Hartlepool,2005,2023,19,19.18076652480041,15.458861450088444,-3.7219050747119677,Worsening,12.888951681479394,14.306866143985523,19.18076652480041,12.89308176100629,45.911949685534594,38.05031446540881,9.688581314878892,278,173,198,262,High Priority,4.0,Transition Laggards
E06000002,Middlesbrough,2005,2023,19,14.05074690602369,15.352962165282293,1.3022152592586025,Improving,12.592625566411424,19.41551402341176,14.05074690602369,11.949685534591195,39.937106918238996,60.062893081761004,4.844290657439446,281,192,128,276,High Priority,4.0,Transition Laggards
E06000003,Redcar and Cleveland,2005,2023,19,28.004447324905968,18.417630579263776,-9.586816745642192,Worsening,13.563848849771059,13.6845955631143,28.004447324905968,25.157232704402517,61.94968553459119,35.84905660377358,20.415224913494807,239,122,205,231,High Priority,4.0,Transition Laggards
E06000004,Stockton-on-Tees,2005,2023,19,40.78778796670359,23.655427375680464,-17.132360591023126,Worsening,14.603738818102268,15.574755342235534,40.78778796670359,46.540880503144656,87.10691823899371,41.19496855345912,37.0242214532872,171,42,188,183,High Priority,4.0,Transition Laggards
E06000005,Darlington,2005,2023,19,34.7442605204948,21.415720648749588,-13.32853987174521,Worsening,12.867968694434811,16.634932731319154,34.7442605204948,39.937106918238996,44.9685534591195,44.9685534591195,30.44982698961938,192,176,176,202,High Priority,4.0,Transition Laggards
E06000006,Halton,2005,2023,19,20.442946697422514,17.170997481070216,-3.271949216352297,Worsening,14.084321916312323,16.985723829475816,20.442946697422514,20.125786163522015,78.30188679245283,46.855345911949684,10.034602076124568,255,70,170,261,High Priority,4.0,Transition Laggards
E06000007,Warrington,2005,2023,19,53.78565130467355,32.941198971208316,-20.844452333465235,Worsening,14.381708624824373,30.656236984127023,53.78565130467355,71.38364779874213,83.9622641509434,86.79245283018868,55.017301038062286,92,52,43,131,High Priority,1.0,Emerging Improvers
E06000008,Blackburn with Darwen,2005,2023,19,14.063183922311545,11.890279122733117,-2.1729047995784274,Worsening,13.252178637969283,8.355474807918522,14.063183922311545,4.716981132075472,53.459119496855344,15.40880503144654,5.190311418685121,304,149,270,275,High Priority,2.0,Stable Mid-Performers
E06000009,Blackpool,2005,2023,19,0.0,6.486007402459108,6.486007402459108,Improving,12.220137780101439,7.237884427275882,0.0,0.628930817610063,30.50314465408805,11.320754716981133,0.34602076124567477,317,222,283,289,High Priority,2.0,Stable Mid-Performers
E06000010,"Kingston upon Hull, City of",2005,2023,19,7.689776688635654,9.59363920085921,1.9038625122235562,Improving,11.170130362943514,9.92101055099846,7.689776688635654,2.515723270440252,17.61006289308176,21.069182389937108,2.768166089965398,311,263,252,282,High Priority,2.0,Stable Mid-Performers
E06000011,East Riding of Yorkshire,2005,2023,19,62.69365375855895,34.04499638734935,-28.6486573712096,Worsening,15.482313639436324,23.95902176405277,62.69365375855895,74.84276729559748,93.39622641509435,74.52830188679245,69.20415224913495,81,22,82,90,High Priority,1.0,Emerging Improvers
E06000012,North East Lincolnshire,2005,2023,19,27.021087232073214,18.04873396856209,-8.972353263511124,Worsening,13.563701192270042,13.561413481343013,27.021087232073214,23.270440251572328,61.63522012578616,35.22012578616352,19.377162629757784,245,123,207,234,High Priority,4.0,Transition Laggards
E06000013,North Lincolnshire,2005,2023,19,42.149340968482704,32.037000777144485,-10.11234019133822,Worsening,25.422685346504398,28.538976016446348,42.149340968482704,68.86792452830188,99.37106918238993,83.64779874213836,39.44636678200692,100,3,53,176,High Priority,1.0,Emerging Improvers
E06000014,York,2005,2023,19,75.30122498695485,33.59046998771219,-41.71075499924266,Worsening,12.541741689502004,12.92844328667972,75.30122498695485,73.58490566037736,37.10691823899371,33.0188679245283,87.19723183391004,85,201,214,38,High Priority,0.0,Transition Leaders
E06000015,Derby,2005,2023,19,36.75664514790752,21.333908763083908,-15.422736384823612,Worsening,11.119548230034724,16.125532911309474,36.75664514790752,39.308176100628934,16.352201257861633,42.45283018867924,33.56401384083045,194,267,184,193,High Priority,3.0,High-Deprivation Barriers
E06000016,Leicester,2005,2023,19,17.915904821619776,12.67886611272304,-5.237038708896735,Worsening,10.959214616904532,9.161478899644813,17.915904821619776,6.289308176100629,13.522012578616351,18.867924528301888,7.26643598615917,299,276,259,269,High Priority,2.0,Stable Mid-Performers
E06000017,Rutland,2005,2023,19,86.20168150167333,48.63898961973154,-37.562691881941795,Worsening,18.10372042359101,41.61156693393027,86.20168150167333,99.37106918238993,98.74213836477988,97.16981132075472,94.4636678200692,3,5,10,17,High Priority,1.0,Emerging Improvers
E06000018,Nottingham,2005,2023,19,9.09438047222163,11.23943413089782,2.14505365867619,Improving,12.76069839647893,11.863223523992904,9.09438047222163,3.459119496855346,42.45283018867924,28.930817610062892,3.4602076124567476,308,184,227,280,High Priority,2.0,Stable Mid-Performers
E06000019,"Herefordshire, County of",2005,2023,19,44.691397185265004,27.271895849017188,-17.419501336247816,Worsening,14.865907217368143,22.258383144418413,44.691397185265004,57.23270440251572,88.9937106918239,70.44025157232704,43.944636678200695,137,36,95,163,High Priority,1.0,Emerging Improvers
E06000020,Telford and Wrekin,2005,2023,19,35.21062725300725,21.948926135974897,-13.261701117032356,Worsening,13.970547234789041,16.665603920128394,35.21062725300725,41.509433962264154,74.52830188679245,45.28301886792453,31.4878892733564,187,82,175,199,High Priority,4.0,Transition Laggards
E06000021,Stoke-on-Trent,2005,2023,19,14.734798118516949,12.76064301023687,-1.974155108280078,Worsening,12.071923858376863,11.475207053816806,14.734798118516949,6.60377358490566,27.9874213836478,27.358490566037734,5.536332179930796,298,230,232,274,High Priority,2.0,Stable Mid-Performers
E06000022,Bath and North East Somerset,2005,2023,19,74.12807034725103,32.63054373588971,-41.497526611361316,Worsening,11.478106021686092,12.285454838731997,74.12807034725103,70.12578616352201,20.440251572327046,30.81761006289308,85.46712802768167,96,254,221,43,High Priority,0.0,Transition Leaders
E06000023,"Bristol, City of",2005,2023,19,32.55945991932099,18.31977484213728,-14.239685077183712,Worsening,12.058047223579482,10.34181738351137,32.55945991932099,24.528301886792452,27.044025157232703,22.955974842767297,27.68166089965398,241,233,246,210,High Priority,2.0,Stable Mid-Performers
E06000024,North Somerset,2005,2023,19,64.25225558527706,34.54699874112558,-29.705256844151478,Worsening,14.200530361832381,25.1882102762673,64.25225558527706,76.72955974842768,80.50314465408806,77.04402515723271,71.97231833910035,75,63,74,82,High Priority,1.0,Emerging Improvers
E06000025,South Gloucestershire,2005,2023,19,74.05994082989506,39.91213776230472,-34.14780306759034,Worsening,13.839557101953925,31.836915355065177,74.05994082989506,87.73584905660378,70.75471698113208,88.67924528301887,85.12110726643598,40,94,37,44,High Priority,1.0,Emerging Improvers
E06000026,Plymouth,2005,2023,19,30.85269551779801,18.0898097058244,-12.76288581197361,Worsening,10.90210539949378,12.51462820018141,30.85269551779801,23.89937106918239,11.635220125786164,31.446540880503143,24.91349480968858,243,282,219,218,High Priority,2.0,Stable Mid-Performers
E06000027,Torbay,2005,2023,19,25.52394148123465,15.467660416033716,-10.056281065200935,Worsening,10.956444802541412,9.922594964325086,25.52394148123465,13.20754716981132,13.20754716981132,21.38364779874214,16.608996539792386,277,277,251,242,High Priority,2.0,Stable Mid-Performers
E06000030,Swindon,2005,2023,19,53.95404003804961,28.13523692137854,-25.818803116671074,Worsening,12.349059540264154,18.102611185821857,53.95404003804961,60.691823899371066,33.33333333333333,53.144654088050316,55.36332179930796,126,213,150,130,High Priority,3.0,High-Deprivation Barriers
E06000031,Peterborough,2005,2023,19,26.919055135776837,19.95224140995249,-6.966813725824348,Worsening,13.922699099913313,19.014969994167316,26.919055135776837,31.132075471698112,72.95597484276729,58.80503144654088,18.685121107266436,220,87,132,236,High Priority,4.0,Transition Laggards
E06000032,Luton,2005,2023,19,28.64345110122911,15.964907268174889,-12.678543833054222,Worsening,12.073918200284925,7.17735250301063,28.64345110122911,15.723270440251572,28.30188679245283,11.0062893081761,21.79930795847751,269,229,284,227,High Priority,2.0,Stable Mid-Performers
E06000033,Southend-on-Sea,2005,2023,19,45.01737054119805,20.921893577254504,-24.095476963943543,Worsening,10.880930716865596,6.867379473699869,45.01737054119805,36.79245283018868,11.0062893081761,8.80503144654088,44.636678200692046,202,284,291,161,High Priority,3.0,High-Deprivation Barriers
E06000034,Thurrock,2005,2023,19,42.09236984576347,26.953223575506552,-15.13914627025692,Worsening,12.978226416535218,25.789074464220963,42.09236984576347,56.60377358490566,47.79874213836478,78.9308176100629,39.10034602076124,139,167,68,177,High Priority,4.0,Transition Laggards
E06000035,Medway,2005,2023,19,36.38146909568108,19.248429818913063,-17.133039276768013,Worsening,12.051464750688787,9.312355610369327,36.38146909568108,28.30188679245283,26.10062893081761,19.18238993710692,33.21799307958477,229,236,258,194,High Priority,2.0,Stable Mid-Performers
E06000036,Bracknell Forest,2005,2023,19,79.14939819613284,34.3037031679575,-44.845695028175335,Worsening,13.247507780538772,10.514203527200884,79.14939819613284,75.47169811320755,53.144654088050316,23.58490566037736,89.27335640138409,79,150,244,32,High Priority,0.0,Transition Leaders
